Iteration,Data Size (bytes),Encrypt Time (seconds),Sign Time (seconds),Verify Time (seconds),Decrypt Time (seconds),Total Time (seconds)
0,4426,0.0011610984802246094,0.0005507469177246094,0.00016570091247558594,0.006766080856323242,0.008971929550170898
1,64968,0.0010404586791992188,0.0007259845733642578,0.0003731250762939453,0.0010690689086914062,0.0034503936767578125
2,48146,0.0007772445678710938,0.000606536865234375,0.0002951622009277344,0.0008208751678466797,0.0027136802673339844
3,4380,0.0002655982971191406,0.00040650367736816406,0.00013446807861328125,0.00032019615173339844,0.0012974739074707031
4,9163,0.0003063678741455078,0.00041222572326660156,0.00014519691467285156,0.0003445148468017578,0.0013773441314697266
5,66615,0.0009481906890869141,0.0006182193756103516,0.0003497600555419922,0.0010313987731933594,0.003161191940307617
6,17493,0.0004010200500488281,0.0004534721374511719,0.0001766681671142578,0.00044083595275878906,0.0016481876373291016
7,3654,0.0002410411834716797,0.0003838539123535156,0.00010657310485839844,0.00027680397033691406,0.0011737346649169922
8,4374,0.000240325927734375,0.0003936290740966797,0.00012731552124023438,0.0002903938293457031,0.0012173652648925781
9,20400,0.00041866302490234375,0.0004425048828125,0.00016188621520996094,0.0004570484161376953,0.0016536712646484375
10,20400,0.00041484832763671875,0.0004074573516845703,0.00018453598022460938,0.00045561790466308594,0.0016398429870605469
11,20400,0.0004143714904785156,0.00040531158447265625,0.00016021728515625,0.0004515647888183594,0.0016009807586669922
12,5499,0.00025653839111328125,0.00038695335388183594,0.00012755393981933594,0.00029397010803222656,0.001222848892211914
13,5466,0.00027370452880859375,0.0003712177276611328,0.00010657310485839844,0.00028824806213378906,0.0012025833129882812
14,5413,0.0002510547637939453,0.0003762245178222656,0.00010704994201660156,0.0003116130828857422,0.0012171268463134766
15,5521,0.00026154518127441406,0.0003864765167236328,0.00010848045349121094,0.000293731689453125,0.0012264251708984375
16,5445,0.00025272369384765625,0.00038361549377441406,0.00010776519775390625,0.00029277801513671875,0.0012059211730957031
17,5470,0.0002543926239013672,0.0003745555877685547,0.00010824203491210938,0.00029087066650390625,0.001191854476928711
18,5498,0.00025463104248046875,0.0003800392150878906,0.0001285076141357422,0.0003046989440917969,0.0012362003326416016
19,5484,0.000255584716796875,0.00037026405334472656,0.00010704994201660156,0.00028896331787109375,0.0011780261993408203
20,5448,0.0002510547637939453,0.00036907196044921875,0.00010633468627929688,0.0002868175506591797,0.0011677742004394531
21,5497,0.00025343894958496094,0.00036525726318359375,0.00011873245239257812,0.0002884864807128906,0.001192331314086914
22,5441,0.00025153160095214844,0.0003666877746582031,0.00010585784912109375,0.00028824806213378906,0.0011720657348632812
23,5497,0.0002529621124267578,0.00034999847412109375,0.00010561943054199219,0.0002834796905517578,0.0011489391326904297
