Data Size,Standard Deviation of Verify Time
4426.0,0.0
64968.0,0.0
48146.0,0.0
4380.0,0.0
9163.0,0.0
66615.0,0.0
17493.0,0.0
3654.0,0.0
4374.0,0.0
20400.0,1.109151884484927e-05
5499.0,1.040009486519796e-05
5466.0,1.7911170961042309e-06
5413.0,7.152557373046875e-07
5521.0,8.588108898767975e-06
5445.0,1.1492263963615204e-06
5470.0,1.2210626498811588e-05
5498.0,5.903286033086698e-06
5484.0,1.3402432749324032e-06
5448.0,9.175986429925145e-06
5497.0,1.254201822737511e-05
5441.0,1.515565290538719e-06
5588.0,2.0604593774609095e-06
5544.0,6.334819483712816e-06
5435.0,1.1411483543986828e-05
5562.0,5.75204552700209e-06
5595.0,3.17553499522637e-06
5442.0,9.586285020363188e-06
5547.0,4.515420667295139e-06
5496.0,8.541709538763393e-06
5485.0,5.9370983605325985e-06
5560.0,8.756812893012503e-07
5572.0,6.966377806128265e-06
5550.0,1.1155149004547915e-05
5510.0,7.059062406499593e-06
5555.0,5.756264543809208e-06
5529.0,1.1016261726689587e-05
5577.0,8.957017907015791e-06
5606.0,7.587617720868948e-06
5556.0,6.071689495383082e-06
5570.0,9.518861517330532e-06
5610.0,2.152461270837983e-06
5524.0,7.925754980190759e-06
5512.0,1.1819500698833346e-06
5503.0,8.695874405506573e-06
5534.0,1.5894889828364117e-05
5622.0,1.1883208874204551e-05
5602.0,7.407999809111258e-07
5492.0,5.861219038964329e-06
5605.0,2.1148735912605656e-05
5561.0,5.90315928113326e-06
5443.0,7.521945585903547e-06
5516.0,1.0406558851319449e-05
5568.0,1.3660901602100824e-05
5508.0,1.0699302148418492e-05
5479.0,6.940952932172712e-06
5589.0,1.0506126360273687e-05
5611.0,8.991761213673442e-06
5557.0,1.0327570741160079e-05
5540.0,6.629846784580845e-06
5623.0,1.0092740291841853e-05
5579.0,8.739789043701192e-06
5616.0,7.187791859051395e-06
5536.0,5.493546696275825e-06
5552.0,3.5088505080487332e-06
5600.0,6.577319379148549e-06
5543.0,1.0939591294704231e-05
5537.0,5.628002858592738e-06
