Metric,Data Size,Standard Deviation
encrypt_time,4426.0,0.0
encrypt_time,64968.0,0.0
encrypt_time,48146.0,0.0
encrypt_time,4380.0,0.0
encrypt_time,9163.0,0.0
encrypt_time,66615.0,0.0
encrypt_time,17493.0,0.0
encrypt_time,3654.0,0.0
encrypt_time,4374.0,0.0
encrypt_time,20400.0,5.3341979775477624e-05
encrypt_time,5499.0,0.0001439784531345197
encrypt_time,5466.0,0.00014539181718310133
encrypt_time,5413.0,6.949901580810547e-05
encrypt_time,5521.0,0.00015457590179169232
encrypt_time,5445.0,0.0001899221524230813
encrypt_time,5470.0,4.8905275057185436e-05
encrypt_time,5498.0,0.0002038589763162173
encrypt_time,5484.0,0.0001608664836239621
encrypt_time,5448.0,0.00013105485227768421
encrypt_time,5497.0,8.657191502782683e-05
encrypt_time,5441.0,0.00030972247153331425
encrypt_time,5588.0,0.00024542232008660346
encrypt_time,5544.0,0.00017346300904330091
encrypt_time,5435.0,0.00012564943126610969
encrypt_time,5562.0,5.239104366725033e-05
encrypt_time,5595.0,8.861747577968268e-05
encrypt_time,5442.0,0.00017577776584891367
encrypt_time,5547.0,7.415909097399919e-05
encrypt_time,5496.0,0.00023247000926714836
encrypt_time,5485.0,5.5197819316831096e-05
encrypt_time,5560.0,0.00017654879040037222
encrypt_time,5572.0,0.00011356166167602587
encrypt_time,5550.0,6.043178920019937e-05
encrypt_time,5510.0,8.379657232532946e-05
encrypt_time,5555.0,5.542744494895477e-05
encrypt_time,5529.0,7.822115896596156e-05
encrypt_time,5577.0,0.00012183789441468882
encrypt_time,5606.0,0.00017622458417185808
encrypt_time,5556.0,7.129648199503395e-05
encrypt_time,5570.0,0.00010530340717442244
encrypt_time,5610.0,0.00014442546523253023
encrypt_time,5524.0,0.0001088112453626261
encrypt_time,5512.0,7.524206838727777e-05
encrypt_time,5503.0,0.00011227998661505335
encrypt_time,5534.0,8.501519635980065e-05
encrypt_time,5622.0,5.821521788072265e-05
encrypt_time,5602.0,0.00016901088233695362
encrypt_time,5492.0,0.00011822234972171884
encrypt_time,5605.0,0.00010387294450599819
encrypt_time,5561.0,6.079141275610575e-05
encrypt_time,5443.0,7.624946728254246e-05
encrypt_time,5516.0,8.354046288751894e-05
