Metric,Data Size,Standard Deviation
encapsulation_time,4426.0,0.0
encapsulation_time,64968.0,0.0
encapsulation_time,48146.0,0.0
encapsulation_time,4380.0,0.0
encapsulation_time,9163.0,0.0
encapsulation_time,66615.0,0.0
encapsulation_time,17493.0,0.0
encapsulation_time,3654.0,0.0
encapsulation_time,4374.0,0.0
encapsulation_time,20400.0,6.25769923052137e-07
encapsulation_time,5499.0,9.767950798184806e-06
encapsulation_time,5466.0,1.7852262769300606e-05
encapsulation_time,5413.0,1.3709068298339844e-05
encapsulation_time,5521.0,1.966374082908342e-05
encapsulation_time,5445.0,1.0722169858175373e-05
encapsulation_time,5470.0,1.0571342076667884e-05
encapsulation_time,5498.0,9.745403130007194e-06
encapsulation_time,5484.0,1.6966024229739685e-05
encapsulation_time,5448.0,2.083460522778943e-05
encapsulation_time,5497.0,3.9437102420994085e-05
encapsulation_time,5441.0,1.0129683683717234e-05
encapsulation_time,5588.0,1.7177999336639815e-05
encapsulation_time,5544.0,1.5514307287969095e-05
encapsulation_time,5435.0,3.3043129232540923e-05
encapsulation_time,5562.0,1.851504440477961e-05
encapsulation_time,5595.0,9.358680901436997e-06
encapsulation_time,5442.0,8.938488864264482e-06
encapsulation_time,5547.0,2.6731330174507552e-05
encapsulation_time,5496.0,1.8088017193698942e-05
encapsulation_time,5485.0,1.7571590557187145e-05
encapsulation_time,5560.0,6.9487461974894985e-06
encapsulation_time,5572.0,1.2648126358557818e-05
encapsulation_time,5550.0,2.2553073609054886e-05
encapsulation_time,5510.0,1.56837252264604e-05
encapsulation_time,5555.0,1.1674584053727059e-05
encapsulation_time,5529.0,1.5807250959627902e-05
encapsulation_time,5577.0,2.1669975205678996e-05
encapsulation_time,5606.0,1.119921397060456e-05
encapsulation_time,5556.0,1.1985919542010483e-05
encapsulation_time,5570.0,1.5092515323622818e-05
encapsulation_time,5610.0,9.499657307000799e-06
encapsulation_time,5524.0,2.073695592162135e-05
encapsulation_time,5512.0,1.1252848991776976e-05
encapsulation_time,5503.0,1.5686348135493847e-05
encapsulation_time,5534.0,1.8622239484332866e-05
encapsulation_time,5622.0,2.2668662879148067e-05
encapsulation_time,5602.0,1.0273504522949278e-05
encapsulation_time,5492.0,2.3855551125278804e-05
encapsulation_time,5605.0,1.3970108109100079e-05
encapsulation_time,5561.0,2.3761626192136397e-05
encapsulation_time,5443.0,9.212464279221972e-06
encapsulation_time,5516.0,1.1606151723278142e-05
encapsulation_time,5568.0,1.4778805283153155e-05
encapsulation_time,5508.0,1.947423036268146e-05
encapsulation_time,5479.0,2.186753028539798e-05
encapsulation_time,5589.0,2.1614702353869647e-05
encapsulation_time,5611.0,1.1126089485785423e-05
encapsulation_time,5557.0,3.054514213828358e-05
encapsulation_time,5540.0,2.1836469450669303e-05
encapsulation_time,5623.0,1.3647887408674911e-05
encapsulation_time,5579.0,1.1107747352299452e-05
encapsulation_time,5616.0,3.839452212391269e-06
encapsulation_time,5536.0,1.8271361803560546e-05
encapsulation_time,5552.0,1.6002179511200057e-05
