Iteration,Data Size (bytes),Encapsulation Time (s),Encrypt Time (s),Decrypt Time (s),Decapsulation Time (s),Total Time (s)
0,4426,0.0001590251922607422,0.002638578414916992,0.0005862712860107422,5.698204040527344e-05,0.003819704055786133
1,64968,7.319450378417969e-05,0.0012552738189697266,0.001238107681274414,3.886222839355469e-05,0.002935171127319336
2,48146,6.842613220214844e-05,0.0009417533874511719,0.0009837150573730469,3.528594970703125e-05,0.0023348331451416016
3,4380,5.888938903808594e-05,0.0002930164337158203,0.0003380775451660156,3.3855438232421875e-05,0.0009810924530029297
4,9163,5.626678466796875e-05,0.0003504753112792969,0.0003821849822998047,3.314018249511719e-05,0.001069784164428711
5,66615,5.1975250244140625e-05,0.0011889934539794922,0.0012078285217285156,3.314018249511719e-05,0.002764463424682617
6,17493,5.698204040527344e-05,0.00047397613525390625,0.0004978179931640625,3.314018249511719e-05,0.001313924789428711
7,3654,5.340576171875e-05,0.00026679039001464844,0.0002923011779785156,3.266334533691406e-05,0.0008671283721923828
8,4374,4.6253204345703125e-05,0.00026726722717285156,0.0002930164337158203,3.123283386230469e-05,0.0008535385131835938
9,20400,4.315376281738281e-05,0.00048232078552246094,0.0005123615264892578,3.0517578125e-05,0.0012891292572021484
10,20400,4.291534423828125e-05,0.0005037784576416016,0.0005130767822265625,3.0517578125e-05,0.0013086795806884766
11,20400,4.4345855712890625e-05,0.00048828125,0.000518798828125,3.0994415283203125e-05,0.0013005733489990234
12,5499,4.220008850097656e-05,0.00028252601623535156,0.0003085136413574219,3.0040740966796875e-05,0.0008699893951416016
13,5466,4.1484832763671875e-05,0.0002956390380859375,0.0003097057342529297,2.9802322387695312e-05,0.0011792182922363281
14,5413,4.1961669921875e-05,0.00027871131896972656,0.00035953521728515625,3.075599670410156e-05,0.0012607574462890625
15,5521,0.00011754035949707031,0.0004715919494628906,0.0003521442413330078,4.363059997558594e-05,0.002889871597290039
16,5445,6.413459777832031e-05,0.0002853870391845703,0.0003159046173095703,3.361701965332031e-05,0.0009577274322509766
17,5470,4.6253204345703125e-05,0.00028324127197265625,0.00031256675720214844,3.075599670410156e-05,0.0011827945709228516
18,5498,5.507469177246094e-05,0.0003113746643066406,0.00033283233642578125,3.4809112548828125e-05,0.0015227794647216797
19,5484,4.744529724121094e-05,0.0003082752227783203,0.0003273487091064453,3.409385681152344e-05,0.0015168190002441406
20,5448,5.53131103515625e-05,0.0003058910369873047,0.000331878662109375,3.457069396972656e-05,0.0015141963958740234
21,5497,0.00010347366333007812,0.0003173351287841797,0.0003361701965332031,4.100799560546875e-05,0.0015926361083984375
22,5441,6.818771362304688e-05,0.00038814544677734375,0.00045490264892578125,4.982948303222656e-05,0.0019147396087646484
23,5497,8.106231689453125e-05,0.0004436969757080078,0.0003688335418701172,5.269050598144531e-05,0.0015060901641845703
24,5588,7.033348083496094e-05,0.0003020763397216797,0.00032591819763183594,3.314018249511719e-05,0.0012173652648925781
25,5544,5.14984130859375e-05,0.0002875328063964844,0.0003323554992675781,3.1948089599609375e-05,0.0036530494689941406
26,5441,4.9114227294921875e-05,0.0002963542938232422,0.00031566619873046875,3.218650817871094e-05,0.0009274482727050781
27,5435,4.506111145019531e-05,0.0002872943878173828,0.0003108978271484375,3.075599670410156e-05,0.0008931159973144531
28,5445,4.220008850097656e-05,0.00027680397033691406,0.00030231475830078125,2.956390380859375e-05,0.0008566379547119141
29,5562,4.172325134277344e-05,0.0002841949462890625,0.0003085136413574219,3.0040740966796875e-05,0.0008859634399414062
30,5595,4.100799560546875e-05,0.0002803802490234375,0.00030994415283203125,2.9802322387695312e-05,0.0008680820465087891
31,5442,4.100799560546875e-05,0.000278472900390625,0.00030541419982910156,3.0040740966796875e-05,0.0008575916290283203
32,5470,4.029273986816406e-05,0.00027751922607421875,0.00030159950256347656,3.0040740966796875e-05,0.0008568763732910156
33,5547,4.935264587402344e-05,0.0003256797790527344,0.00054931640625,3.8623809814453125e-05,0.0013248920440673828
34,5496,7.963180541992188e-05,0.0004572868347167969,0.0004520416259765625,5.1975250244140625e-05,0.0016760826110839844
35,5485,8.058547973632812e-05,0.0003323554992675781,0.0003247261047363281,3.743171691894531e-05,0.0011124610900878906
36,5560,5.054473876953125e-05,0.0002815723419189453,0.0003097057342529297,3.075599670410156e-05,0.0010442733764648438
37,5572,4.482269287109375e-05,0.00027680397033691406,0.00030541419982910156,3.0279159545898438e-05,0.0011432170867919922
38,5550,4.1961669921875e-05,0.00028777122497558594,0.00037598609924316406,3.910064697265625e-05,0.0012938976287841797
39,5510,5.459785461425781e-05,0.00030517578125,0.00032401084899902344,3.695487976074219e-05,0.0011241436004638672
40,5550,5.2928924560546875e-05,0.0003838539123535156,0.00038743019104003906,4.220008850097656e-05,0.0014455318450927734
41,5555,7.581710815429688e-05,0.0003192424774169922,0.00033926963806152344,3.814697265625e-05,0.0010869503021240234
42,5510,8.535385131835938e-05,0.0010027885437011719,0.0005843639373779297,5.984306335449219e-05,0.002814054489135742
43,5529,9.965896606445312e-05,0.00039887428283691406,0.0003464221954345703,4.1484832763671875e-05,0.0012938976287841797
44,5572,5.91278076171875e-05,0.00037598609924316406,0.0003886222839355469,4.553794860839844e-05,0.0016155242919921875
45,5577,0.00011682510375976562,0.0004367828369140625,0.00038170814514160156,4.506111145019531e-05,0.0015408992767333984
46,5606,6.699562072753906e-05,0.0002911090850830078,0.0003535747528076172,3.8623809814453125e-05,0.0013947486877441406
47,5556,6.031990051269531e-05,0.0002987384796142578,0.0003421306610107422,3.457069396972656e-05,0.0013477802276611328
48,5570,5.412101745605469e-05,0.00029754638671875,0.0003159046173095703,3.170967102050781e-05,0.0014963150024414062
49,5610,4.7206878662109375e-05,0.00034117698669433594,0.00033283233642578125,3.719329833984375e-05,0.0038437843322753906
50,5610,5.5789947509765625e-05,0.0003554821014404297,0.0007078647613525391,0.00013256072998046875,0.0018620491027832031
51,5524,0.0001201629638671875,0.0004248619079589844,0.00034308433532714844,4.458427429199219e-05,0.0014662742614746094
52,5512,7.534027099609375e-05,0.0003197193145751953,0.0003635883331298828,4.1961669921875e-05,0.0011472702026367188
53,5503,5.936622619628906e-05,0.00029659271240234375,0.00031757354736328125,3.24249267578125e-05,0.0009562969207763672
54,5534,4.887580871582031e-05,0.0002772808074951172,0.0003085136413574219,3.0517578125e-05,0.0008866786956787109
55,5622,4.38690185546875e-05,0.000324249267578125,0.0004525184631347656,4.482269287109375e-05,0.0012013912200927734
56,5602,7.128715515136719e-05,0.0003349781036376953,0.00045371055603027344,4.482269287109375e-05,0.0013248920440673828
57,5492,9.179115295410156e-05,0.0003693103790283203,0.0003440380096435547,3.981590270996094e-05,0.0012044906616210938
58,5605,6.0558319091796875e-05,0.0002982616424560547,0.0003724098205566406,3.4809112548828125e-05,0.0010857582092285156
59,5561,6.961822509765625e-05,0.0003218650817871094,0.0003330707550048828,4.00543212890625e-05,0.0011036396026611328
60,5443,6.842613220214844e-05,0.00036597251892089844,0.0007619857788085938,4.673004150390625e-05,0.0019865036010742188
61,5516,8.058547973632812e-05,0.00034999847412109375,0.0003452301025390625,4.267692565917969e-05,0.001178741455078125
62,5556,7.796287536621094e-05,0.0004558563232421875,0.00037217140197753906,4.5299530029296875e-05,0.00150299072265625
63,5568,6.67572021484375e-05,0.0002970695495605469,0.0003180503845214844,3.337860107421875e-05,0.0010027885437011719
64,5544,5.817413330078125e-05,0.00030422210693359375,0.0003223419189453125,3.24249267578125e-05,0.001180887222290039
65,5508,4.863739013671875e-05,0.0002841949462890625,0.0003161430358886719,3.147125244140625e-05,0.0011577606201171875
66,5479,4.601478576660156e-05,0.00029015541076660156,0.0003192424774169922,3.1948089599609375e-05,0.0014715194702148438
67,5589,4.673004150390625e-05,0.0003056526184082031,0.0003197193145751953,3.337860107421875e-05,0.0015368461608886719
68,5562,4.553794860839844e-05,0.00029659271240234375,0.00032806396484375,3.314018249511719e-05,0.001531839370727539
69,5611,4.8160552978515625e-05,0.00029659271240234375,0.00033545494079589844,3.4332275390625e-05,0.0015988349914550781
70,5557,0.00014090538024902344,0.0003948211669921875,0.0005321502685546875,5.888938903808594e-05,0.00199127197265625
71,5540,6.961822509765625e-05,0.0003192424774169922,0.0003228187561035156,3.743171691894531e-05,0.0011065006256103516
72,5623,5.364418029785156e-05,0.0004572868347167969,0.0003590583801269531,4.887580871582031e-05,0.019243478775024414
73,5579,6.556510925292969e-05,0.00030732154846191406,0.00032258033752441406,3.3855438232421875e-05,0.003367185592651367
74,5616,5.1021575927734375e-05,0.0002751350402832031,0.00031375885009765625,3.123283386230469e-05,0.0008947849273681641
