Metric,Data Size,Standard Deviation
encrypt_time,4426.0,0.0
encrypt_time,64968.0,0.0
encrypt_time,48146.0,0.0
encrypt_time,4380.0,0.0
encrypt_time,9163.0,0.0
encrypt_time,66615.0,0.0
encrypt_time,17493.0,0.0
encrypt_time,3654.0,0.0
encrypt_time,4374.0,0.0
encrypt_time,20400.0,1.944764369681069e-05
encrypt_time,5499.0,1.9383233345554736e-05
encrypt_time,5466.0,0.0001368925973839304
encrypt_time,5413.0,5.650520324707031e-05
encrypt_time,5521.0,4.083378548011003e-05
encrypt_time,5445.0,6.095439790064865e-05
encrypt_time,5470.0,5.721536752778241e-05
encrypt_time,5498.0,0.00014890061740537868
encrypt_time,5484.0,0.0001034933941571022
encrypt_time,5448.0,8.371306632725478e-05
encrypt_time,5497.0,5.3779183253122313e-05
encrypt_time,5441.0,4.538830581876235e-05
encrypt_time,5588.0,0.0002528506584290547
encrypt_time,5544.0,2.5628073814825924e-05
encrypt_time,5435.0,1.7411993925505318e-05
encrypt_time,5562.0,4.927906903502608e-05
encrypt_time,5595.0,0.00016369480205375822
encrypt_time,5442.0,2.7180996059835256e-05
encrypt_time,5547.0,6.70425850527941e-05
encrypt_time,5496.0,7.5519987227387e-05
encrypt_time,5485.0,4.924095649634271e-05
encrypt_time,5560.0,0.00012850643088409974
encrypt_time,5572.0,3.963682264799731e-05
encrypt_time,5550.0,6.384247178877324e-05
encrypt_time,5510.0,5.559097222723705e-05
encrypt_time,5555.0,4.205598967883096e-05
encrypt_time,5529.0,8.833135597210492e-05
encrypt_time,5577.0,2.7652586957369392e-05
encrypt_time,5606.0,6.372243045132435e-05
encrypt_time,5556.0,0.0001251700707980481
encrypt_time,5570.0,8.521276967637066e-05
encrypt_time,5610.0,3.2003198606296195e-05
encrypt_time,5524.0,0.0001748512767140657
encrypt_time,5512.0,4.0956733604305116e-05
encrypt_time,5503.0,8.736842568986428e-05
encrypt_time,5534.0,0.00014332884396341423
encrypt_time,5622.0,0.00017284114831985008
encrypt_time,5602.0,4.1027619542716966e-05
encrypt_time,5492.0,7.423751591580056e-05
encrypt_time,5605.0,0.00020281211910256076
encrypt_time,5561.0,8.069120333875087e-05
encrypt_time,5443.0,6.458294159258446e-05
encrypt_time,5516.0,8.173505984108797e-05
