Iteration,Data Size (bytes),Encrypt Time (seconds),Sign Time (seconds),Verify Time (seconds),Decrypt Time (seconds),Total Time (seconds)
0,4426,0.0035004615783691406,0.054891109466552734,0.0013172626495361328,0.0008127689361572266,0.06125354766845703
1,64968,0.0012371540069580078,0.05373573303222656,0.0016150474548339844,0.0013129711151123047,0.058469533920288086
2,48146,0.0008578300476074219,0.05399036407470703,0.001415252685546875,0.0009276866912841797,0.057687997817993164
3,4380,0.0002892017364501953,0.05367612838745117,0.0012712478637695312,0.00046563148498535156,0.05616497993469238
4,9163,0.00035190582275390625,0.05340123176574707,0.0012080669403076172,0.0004448890686035156,0.05576825141906738
5,66615,0.0009870529174804688,0.053617238998413086,0.0017056465148925781,0.00127410888671875,0.05816292762756348
6,17493,0.00048470497131347656,0.05398249626159668,0.0012073516845703125,0.0005357265472412109,0.05659818649291992
7,3654,0.00026226043701171875,0.05340886116027832,0.0012502670288085938,0.0004374980926513672,0.05583000183105469
8,4374,0.00027942657470703125,0.053093910217285156,0.0011143684387207031,0.00037407875061035156,0.05522561073303223
9,20400,0.00043582916259765625,0.05332446098327637,0.0012345314025878906,0.0007183551788330078,0.056122779846191406
10,20400,0.00046324729919433594,0.05344247817993164,0.0012514591217041016,0.0070688724517822266,0.06274008750915527
11,20400,0.0004832744598388672,0.05353522300720215,0.0015780925750732422,0.0006670951843261719,0.056794166564941406
12,5499,0.0002949237823486328,0.05314350128173828,0.0011098384857177734,0.00039315223693847656,0.055307626724243164
13,5466,0.0002810955047607422,0.05299210548400879,0.0012021064758300781,0.0004849433898925781,0.05543828010559082
14,5413,0.00041604042053222656,0.052904367446899414,0.0010945796966552734,0.0003898143768310547,0.05527043342590332
15,5521,0.0002789497375488281,0.052358388900756836,0.0009996891021728516,0.0003371238708496094,0.054144859313964844
16,5445,0.00026535987854003906,0.05240488052368164,0.0009965896606445312,0.0003390312194824219,0.05420804023742676
17,5470,0.00027060508728027344,0.05222678184509277,0.0009822845458984375,0.0003261566162109375,0.053992271423339844
18,5498,0.0002696514129638672,0.05225253105163574,0.000988006591796875,0.0003294944763183594,0.05402374267578125
19,5484,0.0002675056457519531,0.05263161659240723,0.0011136531829833984,0.0003859996795654297,0.0547335147857666
20,5448,0.0003287792205810547,0.052549123764038086,0.00102996826171875,0.00035500526428222656,0.054512977600097656
21,5497,0.00027251243591308594,0.05283403396606445,0.0010974407196044922,0.0003833770751953125,0.054915428161621094
22,5441,0.00028896331787109375,0.05224204063415527,0.0010006427764892578,0.00033593177795410156,0.05407571792602539
23,5497,0.00028061866760253906,0.05232381820678711,0.001016855239868164,0.00039315223693847656,0.05426287651062012
24,5588,0.00029087066650390625,0.05257821083068848,0.0010750293731689453,0.0003993511199951172,0.05466818809509277
25,5544,0.0002789497375488281,0.05280756950378418,0.001069784164428711,0.0003867149353027344,0.05483818054199219
26,5441,0.0002760887145996094,0.05246114730834961,0.001001596450805664,0.0003342628479003906,0.05428028106689453
27,5435,0.00026798248291015625,0.05222201347351074,0.000995635986328125,0.0003256797790527344,0.0540010929107666
28,5445,0.00026726722717285156,0.05224728584289551,0.0009732246398925781,0.0003204345703125,0.05399370193481445
