Metric,Data Size,Standard Deviation
encrypt_time,4426.0,0.0
encrypt_time,64968.0,0.0
encrypt_time,48146.0,0.0
encrypt_time,4380.0,0.0
encrypt_time,9163.0,0.0
encrypt_time,66615.0,0.0
encrypt_time,17493.0,0.0
encrypt_time,3654.0,0.0
encrypt_time,4374.0,0.0
encrypt_time,20400.0,5.07258523217295e-06
encrypt_time,5499.0,4.054430439878075e-06
encrypt_time,5466.0,1.628374459794043e-05
encrypt_time,5413.0,7.510185241699219e-06
encrypt_time,5521.0,2.7093225486149185e-05
encrypt_time,5445.0,1.2720809826501033e-05
encrypt_time,5470.0,1.4582078696247925e-05
encrypt_time,5498.0,5.39963272792732e-06
encrypt_time,5484.0,4.926445586506623e-06
encrypt_time,5448.0,1.0040566607539932e-05
encrypt_time,5497.0,7.678524797817789e-06
encrypt_time,5441.0,1.0701824534936746e-05
encrypt_time,5588.0,3.695274333179051e-06
encrypt_time,5544.0,1.1044200086656556e-05
encrypt_time,5435.0,1.2737493839040867e-05
encrypt_time,5562.0,8.762941455100715e-06
encrypt_time,5595.0,1.5056071919356244e-05
encrypt_time,5442.0,1.5321163668384368e-05
encrypt_time,5547.0,1.1798089980562079e-05
encrypt_time,5496.0,9.053590417870106e-06
encrypt_time,5485.0,1.1875907625661996e-05
encrypt_time,5560.0,2.268707815837222e-05
encrypt_time,5572.0,6.734123282214756e-06
encrypt_time,5550.0,1.1568436622075195e-05
encrypt_time,5510.0,6.360806370768928e-06
encrypt_time,5555.0,1.8246378415562233e-05
encrypt_time,5529.0,4.940543842272383e-06
encrypt_time,5577.0,8.880803155431037e-06
encrypt_time,5606.0,4.41806903465053e-06
encrypt_time,5556.0,1.0376273391116685e-05
encrypt_time,5570.0,1.631168214577927e-05
encrypt_time,5610.0,9.857909821634211e-06
encrypt_time,5524.0,6.853686258249702e-06
encrypt_time,5512.0,4.2387336039933865e-06
encrypt_time,5503.0,5.871538563689372e-06
encrypt_time,5534.0,8.642321795034604e-06
encrypt_time,5622.0,1.1310570910466018e-05
encrypt_time,5602.0,5.749330304727801e-06
encrypt_time,5492.0,5.687420109570138e-06
encrypt_time,5605.0,5.7980535775342146e-05
encrypt_time,5561.0,6.271632332568986e-06
encrypt_time,5443.0,3.623334930708479e-06
