Iteration,Data Size (bytes),Encrypt Time (seconds),Sign Time (seconds),Verify Time (seconds),Decrypt Time (seconds),Total Time (seconds)
0,4426,0.003165721893310547,0.33669161796569824,0.00984644889831543,0.0008006095886230469,0.3505127429962158
1,64968,0.0010635852813720703,0.33719515800476074,0.01038670539855957,0.0011608600616455078,0.34982752799987793
2,48146,0.0008325576782226562,0.3366117477416992,0.010049581527709961,0.0009047985076904297,0.34841227531433105
3,4380,0.00032210350036621094,0.33608365058898926,0.009651899337768555,0.0004279613494873047,0.34649229049682617
4,9163,0.0003635883331298828,0.33646726608276367,0.00967097282409668,0.0008096694946289062,0.34732627868652344
5,66615,0.0010759830474853516,0.33699941635131836,0.009876251220703125,0.0011696815490722656,0.3491494655609131
6,17493,0.00047206878662109375,0.336043119430542,0.009819984436035156,0.0005233287811279297,0.34686708450317383
7,3654,0.0002911090850830078,0.3362302780151367,0.009925603866577148,0.0003707408905029297,0.34682464599609375
8,4374,0.00028967857360839844,0.3359801769256592,0.009615182876586914,0.0003044605255126953,0.3461942672729492
9,20400,0.0004475116729736328,0.3361515998840332,0.009629011154174805,0.000461578369140625,0.3466944694519043
10,20400,0.0004372596740722656,0.3363075256347656,0.009715557098388672,0.0004658699035644531,0.34693121910095215
11,20400,0.0004363059997558594,0.3361473083496094,0.009540319442749023,0.0004506111145019531,0.34657931327819824
12,5499,0.00027823448181152344,0.3359720706939697,0.009735584259033203,0.00030994415283203125,0.346299409866333
13,5466,0.00028324127197265625,0.33623576164245605,0.009731531143188477,0.0003254413604736328,0.34658074378967285
14,5413,0.0002818107604980469,0.33603382110595703,0.010133028030395508,0.0003726482391357422,0.34682631492614746
15,5521,0.000331878662109375,0.3363065719604492,0.009572505950927734,0.0003876686096191406,0.3466033935546875
16,5445,0.00030350685119628906,0.3361375331878662,0.009952068328857422,0.00032520294189453125,0.3467233180999756
17,5470,0.00028133392333984375,0.33601880073547363,0.00975656509399414,0.0002925395965576172,0.34635329246520996
18,5498,0.0002830028533935547,0.33583712577819824,0.009537696838378906,0.0002918243408203125,0.34595370292663574
19,5484,0.0002694129943847656,0.33610987663269043,0.009501218795776367,0.0002963542938232422,0.34618043899536133
20,5448,0.0002703666687011719,0.3360154628753662,0.009373188018798828,0.0003199577331542969,0.34598278999328613
21,5497,0.00027561187744140625,0.3361778259277344,0.009777307510375977,0.0003726482391357422,0.34660792350769043
22,5441,0.0002951622009277344,0.3366260528564453,0.009561300277709961,0.0003914833068847656,0.3468794822692871
23,5497,0.0002911090850830078,0.33620476722717285,0.00951075553894043,0.00030493736267089844,0.3463146686553955
24,5588,0.00027489662170410156,0.33604001998901367,0.009308815002441406,0.0003018379211425781,0.3459286689758301
25,5544,0.0002722740173339844,0.3360428810119629,0.01004648208618164,0.0002987384796142578,0.3466641902923584
26,5441,0.00027060508728027344,0.3363306522369385,0.009473800659179688,0.00037789344787597656,0.34645771980285645
27,5435,0.0003020763397216797,0.33614540100097656,0.009783267974853516,0.00032591819763183594,0.3465614318847656
28,5445,0.00028324127197265625,0.3364429473876953,0.009447813034057617,0.00037980079650878906,0.3465595245361328
